rank,genre,movies,total_box_office,tickets,share
1,Adventure,1056.00,63691542024.00,9114757189.00,0.27
2,Action,1049.00,47728320525.00,6766370681.00,0.20
3,Drama,5370.00,37386274557.00,5723810016.00,0.16
4,Comedy,2350.00,34195886709.00,5261716647.00,0.15
5,Thriller/Suspense,1110.00,19710817007.00,2870965153.00,0.08
6,Horror,617.00,11896589711.00,1715172663.00,0.05
7,Romantic Comedy,602.00,9926100780.00,1600180690.00,0.04
8,Musical,187.00,4105964916.00,542180795.00,0.02
9,Documentary,2346.00,2240339409.00,336393566.00,0.01
10,Black Comedy,189.00,1677461702.00,233209110.00,0.01
11,Western,83.00,1084985999.00,149956678.00,0.01
12,Concert/Performance,76.00,396337577.00,54011544.00,0.00
13,Multiple Genres,44.00,37120606.00,4447815.00, -   
14,Reality,4.00,621696.00,73810.00,  -    
