rank,name,interantional,movies,average
1,Kevin Feige,14031694641,30,467723155
2,David Heyman,7867445226,26,302594047
3,Kathleen Kennedy,6903512614,35,197243218
4,Jerry Bruckheimer,6520506827,36,181125190
5,Neal H. Moritz,6049582452,49,123460866
6,Frank Marshall,5363866812,40,134096670
7,Lorenzo di Bonaventura,4997183098,40,124929577
8,Peter Jackson,4853995896,13,373384300
9,Ian Bryce,4733711384,17,278453611
10,James Cameron,4627775922,13,355982763
11,Charles Roven,4464850471,21,212611927
12,Fran Walsh,4458403620,10,445840362
13,Avi Arad,4329009420,21,206143306
14,Simon Kinberg,4243365107,21,202065005
15,Janet Healy,4239200619,11,385381874
16,Lauren Shuler Donner,4188018322,34,123177009
17,Christopher Meledandri,4109267864,14,293519133
18,J.J. Abrams,4086278153,18,227015453
19,Jon Landau,3895107692,8,486888462
20,Vin Diesel,3831091049,11,348281004
21,Michael G. Wilson,3669452458,13,282265574
22,David Barron,3549000033,11,322636367
23,Don Murphy,3479751352,11,316341032
24,Brian Grazer,3367318943,59,57073202
25,Barbara Broccoli,3308520932,12,275710078
26,Tom DeSanto,3264177417,6,544029570
27,Michael Fottrell,3189818404,8,398727301
28,Bryan Burk,3167599409,8,395949926
29,Steven Spielberg,3115150278,30,103838343
30,Tom Cruise,3109571682,11,282688335
31,Joe Roth,3088017990,19,162527263
32,Emma Thomas,3041075760,9,337897307
33,Wyck Godfrey,3001625575,26,115447138
34,Christopher Nolan,2887276812,7,412468116
35,Patrick Crowley,2876223872,11,261474897
36,Eric Fellner,2851632568,55,51847865
37,Joel Silver,2760699542,36,76686098
38,Tim Bevan,2732351738,54,50599106
39,Peter Chernin,2726466222,20,136323311
40,Matt Tolmach,2703789658,12,225315805
41,J.K. Rowling,2697464185,5,539492837
42,Mary Parent,2682397728,16,167649858
43,Walter F. Parkes,2644343969,24,110180999
44,Carolynne Cunningham,2586482577,6,431080430
45,Arnon Milchan,2573938618,37,69565909
46,Dan Lin,2549402577,20,127470129
47,Amy Pascal,2450769850,18,136153881
48,Ridley Scott,2430470242,36,67513062
49,Thomas Tull,2404138825,15,160275922
50,Jon Jashni,2344147894,12,195345658
51,Peter Safran,2312436864,26,88939879
52,Mark Gordon,2299673806,18,127759656
53,Jeffrey Silver,2284501833,26,87865455
54,Colin Wilson,2250729849,13,173133065
55,Zane Weiner,2175794210,4,543948553
56,Scott Rudin,2150876305,66,32589035
57,Graham King,2147769904,20,107388495
58,Michael Bay,2140624046,26,82331694
59,Deborah Snyder,2112751947,9,234750216
60,Jason Blum,2103744888,81,25972159
61,Barrie M. Osborne,2095350849,8,261918856
62,Lori Forte,2083538859,7,297648408
63,Laurie MacDonald,2077634250,17,122213779
64,Karen Rosenfelt,2034974146,18,113054119
65,Michael De Luca,2021576310,25,80863052
66,Richard D. Zanuck,2020770227,16,126298139
67,Laura Ziskin,1998056006,7,285436572
68,David Ellison,1967610515,14,140543608
69,Lionel Wigram,1965565821,10,196556582
70,Chris Morgan,1942614719,8,242826840
71,Todd Phillips,1940955683,11,176450517
72,Beau Flynn,1937922679,23,84257508
73,Darla Anderson,1932323954,5,386464791
74,John Davis,1897741853,29,65439374
75,Hutch Parker,1886081850,9,209564650
76,Peter Del Vecho,1862290505,3,620763502
77,Jon Kilik,1797090250,20,89854513
78,Chris Columbus,1782587169,17,104858069
79,Dana Goldberg,1779372429,12,148281036
80,Jenno Topping,1751896952,20,87594848
81,Jon Favreau,1727564080,3,575854693
82,Nina Jacobson,1690703227,14,120764516
83,Gerald R. Molen,1665954913,10,166595491
84,Clark Spencer,1655256594,6,275876099
85,David Hoberman,1641609491,25,65664380
86,Hiram Garcia,1626748640,10,162674864
87,Todd Lieberman,1611708399,20,80585420
88,Jonas Rivera,1578916018,3,526305339
89,Mireille Soria,1574256988,6,262376165
90,Ron Howard,1573445571,29,54256744
91,John C. Donkin,1556151150,4,389037788
92,Steve Starkey,1554552881,16,97159555
93,James Lassiter,1540199584,15,102679972
94,Scott Stuber,1499752347,22,68170561
95,Akiva Goldsman,1488969098,20,74448455
96,Shawn Levy,1488657421,32,46520544
97,Roy Lee,1485689552,35,42448273
98,Dean Devlin,1478216066,9,164246230
99,Albert R. Broccoli,1476815000,16,92300938
100,Mark Johnson,1463212713,26,56277412
101,Dwayne Johnson,1451074015,12,120922835
102,Bonnie Arnold,1437389929,5,287477986
103,Jack Giarraputo,1436056937,23,62437258
104,Dylan Clark,1434632202,15,95642147
105,Robert De Niro,1411315226,10,141131523
106,Douglas Wick,1400318051,16,87519878
107,Will Smith,1393264536,12,116105378
108,Rick McCallum,1374930131,6,229155022
109,Don Granger,1370650066,12,114220839
110,Clint Eastwood,1348859118,22,61311778
111,Mark Radcliffe,1340712580,10,134071258
112,James Wan,1307031284,21,62239585
113,Melissa Cobb,1293706630,3,431235543
114,Dana Brunetti,1288270101,8,161033763
115,Mark Swift,1286284177,5,257256835
116,Sam Mercer,1284260961,10,128426096
117,Aron Warner,1280527358,7,182932480
118,Alex Kurtzman,1277810753,8,159726344
119,Suzanne Todd,1253640271,18,69646682
120,Adam Sandler,1250312642,20,62515632
121,Robert Zemeckis,1247708500,19,65668868
122,Rob Cowan,1236696807,7,176670972
123,Larry Franco,1228344332,6,204724055
124,Bryan Singer,1220891515,7,174413074
125,Gary Goetzman,1215874225,22,55267010
126,Basil Iwanyk,1213389509,25,48535580
127,Don Hahn,1204093492,7,172013356
128,Bradley Cooper,1196835313,6,199472552
129,Robert Kulzer,1189691372,17,69981845
130,Roger Birnbaum,1177373283,20,58868664
131,Jeremy Bolt,1167243115,13,89787932
132,Paul W.S. Anderson,1163422992,9,129269221
133,Steve Tisch,1154760519,21,54988596
134,Paula Wagner,1153938477,7,164848354
135,Jennifer Todd,1139259111,15,75950607
136,Amanda Silver,1139037097,3,379679032
137,Rick Jaffa,1139037097,3,379679032
138,M. Night Shyamalan,1136494437,11,103317676
139,Roberto Orci,1125097546,8,140637193
140,Karen Gilchrist,1113305351,1,1113305351
141,Marc Platt,1110147792,31,35811219
