rank,name, interantional , movies , average 
1,Kevin Feige,14031694641.00,30.00,467723155.00
2,David Heyman,7867445226.00,26.00,302594047.00
3,Kathleen Kennedy,6903512614.00,35.00,197243218.00
4,Jerry Bruckheimer,6520506827.00,36.00,181125190.00
5,Neal H. Moritz,6049582452.00,49.00,123460866.00
6,Frank Marshall,5363866812.00,40.00,134096670.00
7,Lorenzo di Bonaventura,4997183098.00,40.00,124929577.00
8,Peter Jackson,4853995896.00,13.00,373384300.00
9,Ian Bryce,4733711384.00,17.00,278453611.00
10,James Cameron,4627775922.00,13.00,355982763.00
11,Charles Roven,4464850471.00,21.00,212611927.00
12,Fran Walsh,4458403620.00,10.00,445840362.00
13,Avi Arad,4329009420.00,21.00,206143306.00
14,Simon Kinberg,4243365107.00,21.00,202065005.00
15,Janet Healy,4239200619.00,11.00,385381874.00
16,Lauren Shuler Donner,4188018322.00,34.00,123177009.00
17,Christopher Meledandri,4109267864.00,14.00,293519133.00
18,J.J. Abrams,4086278153.00,18.00,227015453.00
19,Jon Landau,3895107692.00,8.00,486888462.00
20,Vin Diesel,3831091049.00,11.00,348281004.00
21,Michael G. Wilson,3669452458.00,13.00,282265574.00
22,David Barron,3549000033.00,11.00,322636367.00
23,Don Murphy,3479751352.00,11.00,316341032.00
24,Brian Grazer,3367318943.00,59.00,57073202.00
25,Barbara Broccoli,3308520932.00,12.00,275710078.00
26,Tom DeSanto,3264177417.00,6.00,544029570.00
27,Michael Fottrell,3189818404.00,8.00,398727301.00
28,Bryan Burk,3167599409.00,8.00,395949926.00
29,Steven Spielberg,3115150278.00,30.00,103838343.00
30,Tom Cruise,3109571682.00,11.00,282688335.00
31,Joe Roth,3088017990.00,19.00,162527263.00
32,Emma Thomas,3041075760.00,9.00,337897307.00
33,Wyck Godfrey,3001625575.00,26.00,115447138.00
34,Christopher Nolan,2887276812.00,7.00,412468116.00
35,Patrick Crowley,2876223872.00,11.00,261474897.00
36,Eric Fellner,2851632568.00,55.00,51847865.00
37,Joel Silver,2760699542.00,36.00,76686098.00
38,Tim Bevan,2732351738.00,54.00,50599106.00
39,Peter Chernin,2726466222.00,20.00,136323311.00
